distance,time,ZIP,Transport,Day_of_week,Rain,Time_crunch,Departure_Time 
0.7,21,90024,walk,wed,0,0,10:26
9.1,82,90020,bus,wed,0,0,10:05
9.1,85,90020,bus,thr,0,0,9:30
9.1,84,90020,bus,fri,1,0,7:57
9.1,90,90020,bus,tue,1,0,9:30
9.1,82,90020,bus,wed,1,0,10:01
9.1,86,90020,bus,thr,1,0,7:50
1.3,20,90025,walk,thr,0,0,7:20
1.3,25,90025,walk,wed,0,1,10:31
2.6,12,90025,bike,wed,0,0,10:46
2.6,14,90025,bike,thr,0,1,10:31
2.6,28,90025,bike,fri,0,0,10:46
2.6,17,90025,bike,wed,1,0,9:45
2.6,18,90025,bike,fri,0,0,8:33
2.6,15,90025,bike,mon,0,0,9:19
2.6,18,90025,bike,wed,0,0,9:19
2.6,16,90025,bike,thr,0,0,6:21
2.6,17,90025,bike,fri,0,0,8:30
2.6,12,90025,ride share,mon,1,0,6:15
2.6,24,90025,ride share,tue,0,0,10:42
2.6,32,90025,ride share,thr,1,1,10:42
3,10,90024,car,wed,1,0,11:30
30,35,90265,car,wed,0,0,10:25
30,90,90265,car,thr,0,1,9:30
30,100,90265,car,fri,0,1,10:29
30,60,90265,car,mon,1,0,10:08
30,40,90265,car,tue,0,0,9:10
3,10,90265,car,thr,1,0,10:42
30,40,90265,car,fri,0,0,7:47
30,40,90265,car,thr,0,0,7:46
30,40,90265,car,fri,0,0,10:13
50,60,93066,car,mon,0,0,8:30
0.5,11,90024,walk,tue,0,1,10:03
0.7,14,90024,walk,wed,0,0,9:20
0.7,14,90024,walk,thr,0,0,7:37
2.8,21,90049,car,tue,0,0,6:30
3.3,14,90049,car,wed,0,0,11:45
3.3,16,90049,car,thr,0,0,7:45
3.3,18,90049,car,fri,0,0,8:15
2.8,16,90049,ride share,mon,0,1,8:20
2.8,28,90049,ride share,mon,0,1,10:36
3.3,19,90049,car,thr,0,0,10:05
3.3,16,90049,ride share,tue,0,0,9:34
3.3,18,90049,ride share,wed,0,0,10:30
3.3,17,90049,ride share,wed,0,0,7:34
2.4,17,90025,bike,fri,0,0,8:19
2.4,22,90025,bike,wed,0,0,3:36
2.4,17,90025,bike,thr,0,1,12:45
