UID,Travel Time (Minutes from door of house to door of first destination on campus),Date (MM/DD/YYYY),ZIP Code,Distance (miles),"Mode of Transport (Bus, Car, Walk, Bike, Uber, Lyft, etc)",Departure Time (ex: 9:00 AM),Day of Week (i.e. Monday),Rain (Y/N),Time Crunch (Y/N),Comments (see Instructions tab)
503983180,45,,,4.3,car,8:20,Tuesday,N,N,
405221947,25,,,1.5,Walking,9:20,Thursday,N,N,
204591578,11,,,0.5,walking,11:31,Tuesday,N,Y,"While it is only a 10 minute walk, the only light on my path took forever to turn green, hence 'the rush'."
205225512,22,,,2.4,bike,10:45,Tuesday,N,N,
904499500,20,,,2.1,car,12:40,Tuesday,N,Y,
305223857,40,,,2.8,walk + bus,10:45,Tuesday,N,N,Waited 10 minutes for the bus to come
705221347,14,,,0.7,walking,7:56,Wednesday,N,N,
5231689,20,,,2.1,car,12:40,Tuesday,N,Y,
5231689,17,,,2.1,car,10:36,Wednesday,N,N,
105240508,12,,,2.6,bike,8:56,Wednesday,N,N,
203810586,35,1/9/19,90265,30,car,6:00,wednesday,N,N,
105219173,25,,,1.3,walking,8:20,Wednesday,N,Y,Went to gym and lab
5076061,21,,,0.7,walking,8:30,Wednesday,N,N,
404848323,15,,,1.4,car,12:40,Tuesday,N,N,
205227592,11,,,0.8,walking,10:42,Wednesday,N,N,
5226536,48,,,14.2,car,10:07,Wednesday,N,N,
104184919,82,,,9.1,bus,9:34,Wednesday,N,N,
705241661,34,,,5.7,Bus,12:31,Tuesday,N,N,
805228169,27,,,1.55,Walking,9:22,Tuesday,N,N,
105219173,20,,,1.3,walking,10:20,Thursday,N,N,went to lab
903107471,105,,,10.5,Lyft + bus,10:34,Tuesday,N,N,"took Lyft to bus station, then bus"
5226536,55,,,14.2,car,10:12,Thursday,N,N,
904499500,17,,,2.1,car,10:36,Wednesday,N,N,
904499500,15,,,2.1,car,12:40,Thursday,N,N,
104184919,85,,,9.1,bus,11:30,Thursday,N,N,
405230602,25,,,1.2,walking,10:56,Thursday,N,N,
5231689,15,,,2.1,car,12:40,Thursday,N,N,
305042338,25,,,1.6,Bus,9:20,Tuesday,N,N,
405230881,30,,,3.69,car,12:30,Tuesday,N,Y,Uber Pool
205224862,16,,,3.3,car,12:08,Tuesday,N,N,
805230474,18,,,3.4,car,10:18,Tuesday,N,N,
405225356,13,,,0.6,walking,8:48,Wednesday,N,Y,
705221842,22,,,1.8,bus,11:31,Tuesday,N,N,
505222282,8,,,0.7,car,10:45,Wednesday,,,
205219907,21,,,2.8,car,12:36,Tuesday,N,N,
205219907,14,,,3.3,car,8:00,Wednesday,N,N,
205219907,16,,,3.3,car,12:05,Thursday,N,N,
205219907,18,,,3.3,car,10:42,Friday,N,N,
405221947,28,,,5.5,Bus,,,,,
204591578,14,,,0.7,walking,9:30,Wednesday,N,N,
205225512,19,,,2.4,bike,8:19,Wednesday,N,N,
305223857,29,,,2.8,walk + bus,8:07,Wednesday,N,Y,"Saw the bus almost at the stop so I ran to the bus stop. Other than that, I continued along my normal pace"
705221347,15,,,0.7,walking,10:15,Thursday,N,N,stop to talk for a 1-2 minutes with friend
105240508,14,,,2.6,bike,9:26,Thursday,N,Y,
203810586,90,1/10/19,90265,30,car,10:00,Thursday,N,Y,had to buy gas/search for gas that wasnt five dollars a gallon
404848323,16,,,1.4,car,10:32,Wednesday,N,N,
205227592,12,,,0.8,walking,10:38,Thursday,N,N,
705241661,31,,,5.7,Bus,10:26,Wednesday,N,N,
805228169,18,,,1.4,Bus,9:20,Wednesday,N,N,
305042338,24,,,1.6,Bus,9:26,Wednesday,N,N,
405230881,25,,,3.23,car,9:32,Wednesday,N,Y,Uber Pool
205224862,18,,,3.3,car,10:22,Wednesday,N,N,
805230474,20,,,3.4,car,12:09,Wednesday,N,N,
705221842,10,,,1.8,Uber,10:45,Wednesday,N,N,
204591578,14,,,0.7,Walking,9:00,Thursday,N,N,
205225512,18,,,2.4,bike,8:04,Thursday,N,N,
305223857,23,,,2.8,walk + bus,10:01,Friday,N,N,
705221347,13,,,0.7,Walking,7:46,Friday,N,N,
105240508,28,,,2.6,bike,10:26,Friday,N,N,
203810586,100,1/11/19,90265,30,car,6:21,Friday,N,Y,Emergency utility work caused traffic jam + went to coffee bean
404848323,16,,,1.6,car,12:46,Thursday,N,Y,First Uber call got cancelled; ended up calling another uber and wait for extra several minutes.
705241661,30,,,5.7,Bus,8:33,Friday,N,N,
805228169,26,,,1.7,Walk + bus,9:19,Thursday,N,N,
903107471,119,,,10.5,Lyft + bus,10:11,Thursday,N,N,
305042338,24,,,1.6,Bus,9:27,Thursday,N,N,
405230881,32,,,3.51,car,15:30,Thursday,N,N,Uber Pool
205224862,19,,,3.3,car,12:40,Thursday,N,N,
805230474,15,,,3.4,car,12:09,Thursday,N,N,Uber
705221842,26,,,1.8,bus,9:25,Thursday,N,N,
405218148,30,1/9/19,90025,2.2,bus,7:35,Wednesday,N,N,
405218148,21,1/11/19,90025,1.8,bus,10:31,Friday,N,N,
905231519,12,1/9/19,90024,0.8,lyft,10:47,Wednesday,N,Y,
